"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.758505542E0	1.526824951E-1	4.212240601E-1	1.026265869E1	1.027243423E1
1.768499542E0	-5.478607178E-2	2.529739380E-1	9.928703156E0	9.932076504E0
1.778492542E0	-1.959425354E-1	-1.169068909E-1	9.436227264E0	9.438985416E0
1.788485542E0	-3.932322693E-1	-1.176553345E-1	9.650431824E0	9.659156732E0
1.798479542E0	-2.471360779E-1	8.696914673E-2	1.043914169E1	1.044242880E1
1.808472542E0	-6.706054688E-2	6.586303711E-2	9.727671204E0	9.728125313E0
1.818466542E0	1.190025330E-1	3.821553040E-1	9.636959839E0	9.645268229E0
1.828459542E0	-2.561174011E-1	2.621049500E-1	1.040740768E1	1.041385759E1
1.838453542E0	-3.772155762E-1	-7.589218140E-2	9.810000000E0	9.817543033E0
1.848446542E0	-3.242257690E-1	-1.212478638E-1	9.054970093E0	9.061584121E0
1.858440542E0	-4.131408691E-1	2.853067017E-1	1.003393433E1	1.004648811E1
1.868433542E0	-1.154100037E-1	2.603086853E-1	1.033031799E1	1.033424162E1
1.878427542E0	2.544708252E-2	-1.505868530E-1	9.834399261E0	9.835585025E0
1.888420542E0	8.577163696E-2	-2.730322266E-1	9.503587189E0	9.507895289E0
1.898414542E0	-2.050735474E-2	2.650987244E-1	1.001881577E1	1.002234340E1
1.908407542E0	-1.377136230E-2	1.416055298E-1	1.018871246E1	1.018970576E1
1.918401542E0	-1.526824951E-1	2.550695801E-1	9.433532867E0	9.438215657E0
1.928394542E0	-3.191363525E-1	1.366658020E-1	9.647288361E0	9.653532942E0
1.938388542E0	-6.721023560E-1	1.742376709E-1	1.024649231E1	1.026998953E1
1.948381542E0	-4.782554626E-1	4.745132446E-1	9.741292877E0	9.764562357E0
1.958375542E0	-2.516267395E-1	1.167572021E-2	9.649384003E0	9.652671339E0
1.968368542E0	8.412506104E-2	-2.939886475E-1	9.600136414E0	9.605005232E0
1.978361542E0	-8.427474976E-2	-4.090992737E-1	1.007539810E1	1.008405233E1
1.988355542E0	-3.637435913E-2	-7.634124756E-3	1.019724472E1	1.019731245E1
1.998348542E0	3.366499329E-1	5.294490051E-1	9.627379761E0	9.647802366E0
2.008342542E0	3.891906738E-3	5.701643372E-1	9.799222412E0	9.815796575E0
2.018335542E0	-5.117857361E-1	7.065307617E-2	1.035591476E1	1.036879391E1
2.028329542E0	-8.872050476E-1	6.810836792E-2	9.385931854E0	9.428016139E0
2.038322542E0	-4.697232056E-1	9.415420532E-2	9.930499420E0	9.942048262E0
2.048316542E0	6.930587769E-2	-3.412902832E-2	9.481732635E0	9.482047346E0
2.058309542E0	9.699829102E-2	1.049317932E-1	1.020068756E1	1.020168839E1
2.068303542E0	-6.436614990E-3	-3.044668579E-1	1.032927017E1	1.033375845E1
2.078296542E0	8.083190918E-2	-6.421646118E-2	9.428742828E0	9.429307974E0
2.088290542E0	-1.413061523E-1	4.849914551E-1	9.543105011E0	9.556465737E0
2.098283542E0	-1.947450256E-1	6.418652344E-1	1.029124924E1	1.031308525E1
2.108277542E0	-4.113446045E-1	-6.511459351E-2	1.038450531E1	1.039285306E1
2.118270542E0	-3.514691162E-1	-3.308120728E-1	8.938362579E0	8.951384964E0
2.128264542E0	-1.612147522E-1	6.466552734E-2	9.344767456E0	9.346381687E0
2.138257542E0	-1.422042847E-2	4.330494690E-1	1.122126526E1	1.122962725E1
2.148251542E0	1.422042847E-1	1.513352966E-1	9.658814392E0	9.661046522E0
2.158244542E0	-2.263293457E-1	-4.445755005E-2	9.242530060E0	9.245407690E0
2.168237542E0	-4.873864746E-1	-2.107617188E-1	9.567204895E0	9.581929638E0
2.178231542E0	-3.200344849E-1	5.658233643E-2	1.036474640E1	1.036984048E1
2.188224542E0	-3.270698547E-1	3.335064697E-1	1.019499939E1	1.020569517E1
