"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.337967667E0	-1.411564636E-1	-4.760101318E-2	1.054167847E1	1.054273095E1
1.347960667E0	-2.469863892E-2	-2.609074402E-1	9.696386261E0	9.699927280E0
1.357954667E0	2.444416809E-1	3.832031250E-1	9.807904358E0	9.818430845E0
1.367947667E0	-8.472381592E-2	4.526586914E-1	9.467362518E0	9.478556381E0
1.377941667E0	-2.673440552E-1	2.564167786E-1	1.068687653E1	1.069329473E1
1.387934667E0	-4.002676392E-1	2.579136658E-1	8.893006897E0	8.905745635E0
1.397928667E0	-1.981878662E-1	3.480262756E-1	1.014979340E1	1.015769200E1
1.407922667E0	-2.082170105E-1	-2.649490356E-2	1.035980667E1	1.036193276E1
1.417915667E0	-1.181044006E-1	2.071691895E-1	9.263187103E0	9.266256150E0
1.427909667E0	-1.345701599E-1	3.288661194E-1	9.521998901E0	9.528626613E0
1.437903667E0	-2.993774414E-3	1.344204712E-1	1.046114594E1	1.046200995E1
1.447896667E0	-6.137237549E-3	6.107299805E-2	1.038076309E1	1.038094456E1
1.457890667E0	-1.781295776E-1	6.406677246E-2	8.696615295E0	8.698675318E0
1.467883667E0	-3.329077148E-1	2.194436646E-1	1.054811508E1	1.055564848E1
1.477877667E0	-3.034190369E-1	1.019380188E-1	9.590406647E0	9.595746668E0
1.487871667E0	-2.300715637E-1	4.140390015E-1	9.971214752E0	9.982458858E0
1.497864667E0	8.232879639E-3	2.880010986E-1	9.703870697E0	9.708147038E0
1.507858667E0	8.128097534E-2	-2.424957275E-2	1.003423370E1	1.003459220E1
1.517851667E0	1.758842468E-1	-5.343887329E-2	9.758207703E0	9.759938962E0
1.527845667E0	-1.811233521E-1	3.023712158E-1	9.699529724E0	9.705931737E0
1.537838667E0	-1.294807434E-1	5.968089294E-1	1.000235001E1	1.002097559E1
1.547832667E0	-4.658312988E-1	3.477268982E-1	9.974058838E0	9.990984060E0
1.557826667E0	-1.496887207E-1	1.387614441E-1	9.958491211E0	9.960582746E0
1.567819667E0	-3.847000122E-1	-2.107617188E-1	9.230405273E0	9.240822264E0
1.577813667E0	-2.481838989E-1	-5.718109131E-2	9.832752686E0	9.836050544E0
