"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.687045292E0	-2.261197815E0	-6.385720825E-1	7.372319183E0	7.737692163E0
1.697039292E0	-3.054697723E0	2.387535095E-1	8.661288757E0	9.187279486E0
1.707032292E0	-3.021167450E0	2.426454163E-1	1.210772186E1	1.248131637E1
1.717025292E0	-1.569186859E0	-1.736389160E-1	7.731123047E0	7.890675601E0
1.727019292E0	1.722917175E-1	5.655239868E-1	9.155111847E0	9.174179786E0
1.737012292E0	1.739682312E0	1.616638184E-2	1.321751404E1	1.333152029E1
1.747005292E0	3.097508698E0	-6.927593994E-1	9.295819244E0	9.822765962E0
1.756999292E0	2.654130707E0	-1.407073975E-1	8.126450958E0	8.550053424E0
1.766992292E0	1.000818787E0	8.906478882E-1	1.279389496E1	1.286385013E1
1.776985292E0	-7.529342651E-2	8.966354370E-1	9.749675446E0	9.791107981E0
1.786979292E0	-1.313368835E0	-1.859133911E-1	8.177494812E0	8.284378244E0
1.796972292E0	-2.348616028E0	2.230361938E-2	9.911189575E0	1.018568473E1
1.806965292E0	-2.098186798E0	2.395019531E-1	9.698182526E0	9.925446757E0
1.816959292E0	-1.049168243E0	-4.448748779E-1	9.276359711E0	9.346096358E0
1.826952292E0	-3.125500488E-1	-5.891748047E-1	1.028571075E1	1.030731101E1
1.836945292E0	3.704795837E-1	7.125183105E-2	9.582772522E0	9.590196096E0
1.846939292E0	9.562115479E-1	1.694476318E-1	9.664053497E0	9.712722740E0
1.856932292E0	1.061742096E0	4.146377563E-1	1.106289459E1	1.112145932E1
1.866925292E0	4.095483398E-1	7.084767151E-1	9.749974823E0	9.784256648E0
1.876919292E0	-4.959187317E-1	2.517764282E-1	9.285191345E0	9.301833425E0
1.886912292E0	-7.158114624E-1	1.157093811E-1	9.653425598E0	9.680619840E0
1.896906292E0	-8.346643066E-1	6.496490479E-2	1.043165726E1	1.046519747E1
1.906899292E0	-3.766168213E-1	-2.445913696E-1	9.790989532E0	9.801282630E0
1.916892292E0	-3.059637451E-1	-5.282514954E-1	8.895252228E0	8.916174945E0
1.926886292E0	-2.544708252E-2	-1.249900818E-1	1.016745667E1	1.016825674E1
1.936879292E0	1.706451416E-1	2.095642090E-1	1.070169571E1	1.070510756E1
1.946872292E0	2.312690735E-1	3.094065857E-1	9.839039612E0	9.846619638E0
1.956866292E0	-5.093907166E-1	5.881269836E-1	9.126521301E0	9.159626811E0
1.966859292E0	-5.260061646E-1	3.484753418E-1	9.845027161E0	9.865225661E0
1.976852292E0	-6.921606445E-1	-1.335223389E-1	1.057386154E1	1.059733280E1
1.986846292E0	-1.263372803E-1	-3.535647583E-1	9.459728394E0	9.467176476E0
1.996839292E0	-1.368154907E-1	-2.215393066E-2	9.581425323E0	9.582427694E0
2.006832292E0	3.403921509E-1	2.463876343E-1	1.011656250E1	1.012528570E1
2.016826292E0	1.700463867E-1	1.014889526E-1	1.037088364E1	1.037277413E1
2.026819292E0	-9.475296021E-2	5.643264771E-2	9.507329407E0	9.507969037E0
2.036812292E0	-4.555027771E-1	1.332229614E-1	9.420360260E0	9.432307171E0
2.046806292E0	-4.745132446E-1	3.342549133E-1	1.004815475E1	1.006490453E1
2.056799292E0	-5.415737915E-1	2.715353394E-1	1.036010605E1	1.037780473E1
2.066791875E0	-1.537303162E-1	-5.373825073E-2	8.865164795E0	8.866660456E0
2.076785875E0	-1.531315613E-1	-2.610571289E-1	9.974058838E0	9.978649698E0
2.086778875E0	-5.388793945E-3	-4.460723877E-2	1.037956558E1	1.037966283E1
2.096771875E0	5.897735596E-2	9.370513916E-2	1.007749374E1	1.007810196E1
